href,year,make,model,trim,odometer,seller_type,date_found,location,listed_price
https://www.facebook.com/marketplace/item/811733488419770/,2014,Hyundai,i30,,122,,2025-11-27,,10700
https://www.carsales.com.au/cars/details/2015-hyundai-i30-active-x-auto-my16/SSE-AD-18510326/,2015,Hyundai,i30,Active X Auto F MY16,117,Private,2025-11-27,,14400
https://www.facebook.com/marketplace/item/32204116555898681/,2014,Hyundai,i30,,108,,2025-11-27,,13500
https://www.facebook.com/marketplace/item/3726074840860414/,2017,Mazda,2,,90,,2025-11-27,"Sydney, NSW",9000
https://www.carsales.com.au/cars/details/2010-mazda-2-neo-de-series-1-auto-my10/SSE-AD-19746930/,2010,Mazda,2,Neo Auto F MY10,69,Private,2025-11-27,,11000
https://www.facebook.com/marketplace/item/1922386818327164/,2007,Mazda,2,,74,,2025-11-27,"Sydney, NSW",5499
https://www.facebook.com/marketplace/item/782614377976507/,2011,Mazda,2,,59,,2025-11-27,"Sydney, NSW",10800
https://www.facebook.com/marketplace/item/1869510087107798/,2013,Mazda,2,,130,,2025-11-27,"Windsor, NSW",9888
https://www.facebook.com/marketplace/item/1196286445734368/,2008,Mazda,2,,198,,2025-11-27,"Sydney, NSW",4450
https://www.facebook.com/marketplace/item/1184872450255045/,2008,Mazda,2,,286,,2025-11-27,"Central Coast, NSW",5000
https://www.facebook.com/marketplace/item/1258098592789449/,2010,Mazda,2,,173,,2025-11-27,"Sydney, NSW",6300
https://www.facebook.com/marketplace/item/2079625939472830/,2011,Mazda,2,,133,,2025-11-27,"Box Hill, NSW",8500
https://www.facebook.com/marketplace/item/1834577297937213/,2010,Mazda,2,,170,,2025-11-27,"Sydney, NSW",6499
https://www.facebook.com/marketplace/item/2049606695851811/,2013,Mazda,2,,75,,2025-11-27,"Sydney, NSW",11500
https://www.facebook.com/marketplace/item/1372330000865166/,2010,Mazda,2,,57,,2025-11-27,"Sydney, NSW",9500
https://www.facebook.com/marketplace/item/1161451882806158/,2012,Mazda,2,,220,,2025-11-27,"Sydney, NSW",6500
https://www.facebook.com/marketplace/item/838711792161027/,2011,Mazda,2,,146,,2025-11-27,"Sydney, NSW",8000
https://www.facebook.com/marketplace/item/837211282114048/,2009,Mazda,2,,182,,2025-11-27,"Sydney, NSW",4500
https://www.facebook.com/marketplace/item/1139030234241099/,2010,Mazda,2,,137,,2025-11-27,"Sydney, NSW",9800
https://www.facebook.com/marketplace/item/1655016498906313/,2005,Mazda,2,,179,,2025-11-27,"Sydney, NSW",4000
https://www.facebook.com/marketplace/item/884442200821949/,2008,Mazda,2,,125,,2025-11-27,"Sydney, NSW",7800
https://www.facebook.com/marketplace/item/771851169076750/,2009,Mazda,2,,264,,2025-11-27,"Sydney, NSW",7000
https://www.facebook.com/marketplace/item/1655404475427984/,2008,Mazda,2,,100,,2025-11-27,"Sydney, NSW",7990
https://www.facebook.com/marketplace/item/1149318024075641/,2008,Mazda,2,,158,,2025-11-27,"Sydney, NSW",6700
https://www.facebook.com/marketplace/item/797040743198584/,2006,Mazda,2,,204,,2025-11-27,"Sydney, NSW",4999
https://www.facebook.com/marketplace/item/1011985127686673/,2007,Mazda,2,,137,,2025-11-27,"Sydney, NSW",6000
https://www.facebook.com/marketplace/item/1468450101330181/,2005,Mazda,2,,248,,2025-11-27,"Sydney, NSW",2500
https://www.facebook.com/marketplace/item/1187480623360838/,2010,Mazda,2,,217,,2025-11-27,"Sydney, NSW",4000
https://www.facebook.com/marketplace/item/2365262273925809/,2005,Mazda,2,,129,,2025-11-27,"Sydney, NSW",5000
https://www.facebook.com/marketplace/item/1204033731591475/,2009,Mazda,2,,238,,2025-11-27,"Sydney, NSW",1000
https://www.carsales.com.au/cars/details/2016-hyundai-i30-active-auto-my17/SSE-AD-19758151/,2016,Hyundai,i30,Active Auto F MY17,86,Private,2025-11-27,,14500
https://www.facebook.com/marketplace/item/1402130307919343/,2004,Mazda,2,,194,,2025-11-27,"Sydney, NSW",4400
https://www.facebook.com/marketplace/item/803790669312754/,2016,Hyundai,i30,,106,,2025-11-27,,13800
https://www.facebook.com/marketplace/item/623667917498300/,2011,Mazda,2,,223,,2025-11-27,"Sydney, NSW",4990
https://www.facebook.com/marketplace/item/1389399989361183/,2013,Mazda,2,,160,,2025-11-27,"Sydney, NSW",8500
https://www.carsales.com.au/cars/details/2011-mazda-2-neo-de-series-1-auto-my11/SSE-AD-19762785/,2011,Mazda,2,Neo Auto F MY11,102,Private,2025-11-27,,9900
https://www.carsales.com.au/cars/details/2011-mazda-2-neo-de-series-2-auto-my12/OAG-AD-25243400/,2011,Mazda,2,Neo Auto F MY12,111,Dealer used,2025-11-27,,9888
https://www.carsales.com.au/cars/details/2008-mazda-2-maxx-de-series-1-auto/OAG-AD-25136956/,2008,Mazda,2,Maxx Auto F,54,Dealer used,2025-11-27,,10990
https://www.carsales.com.au/cars/details/2010-mazda-2-maxx-de-series-1-auto-my10/SSE-AD-19718034/,2010,Mazda,2,Maxx Auto F MY10,132,Private,2025-11-27,,7200
https://www.carsales.com.au/cars/details/2011-mazda-2-neo-de-series-1-auto-my11/SSE-AD-19769347/,2011,Mazda,2,Neo Auto F MY11,84,Private,2025-11-27,,9990
https://www.carsales.com.au/cars/details/2010-mazda-2-genki-de-series-1-auto-my10/SSE-AD-16338531/,2010,Mazda,2,Genki Auto F MY10,162,Private,2025-11-27,,8999
https://www.carsales.com.au/cars/details/2009-mazda-2-neo-de-series-1-auto/SSE-AD-19633551/,2009,Mazda,2,Neo Auto F,179,Private,2025-11-27,,6500
https://www.carsales.com.au/cars/details/2011-mazda-2-genki-de-series-2-auto-my12/OAG-AD-25249831/,2011,Mazda,2,Genki Auto F MY12,93,Dealer used,2025-11-27,,10995
https://www.carsales.com.au/cars/details/2010-mazda-2-neo-de-series-1-auto/OAG-AD-25223356/,2010,Mazda,2,Neo Auto F,73,Dealer used,2025-11-27,,12999
https://www.carsales.com.au/cars/details/2011-mazda-2-neo-de-series-1-auto-my11/SSE-AD-19776959/,2011,Mazda,2,Neo Auto F MY11,79,Private,2025-11-27,,11800
https://www.carsales.com.au/cars/details/2010-mazda-2-neo-de-series-1-auto-my10/SSE-AD-19777553/,2010,Mazda,2,Neo Auto F MY10,145,Private,2025-11-27,,7000
https://www.facebook.com/marketplace/item/2118179571922615/,2024,Mazda,2,,67,,2025-11-27,"Sydney, NSW",17500
https://www.facebook.com/marketplace/item/886707237369195/,2007,Mazda,2,,251,,2025-11-27,"Sydney, NSW",2500
https://www.facebook.com/marketplace/item/1911289462933141/,2019,Mazda,2,,138,,2025-11-27,"Sydney, NSW",13900
https://www.facebook.com/marketplace/item/872081648809191/,2014,Mazda,2,,145,,2025-11-27,"Sydney, NSW",13999
https://www.facebook.com/marketplace/item/1572222164225467/,2018,Mazda,2,,54,,2025-11-27,"Sydney, NSW",17000
